1,Apples
2,Almond
3,Banana
4,Raspberries
5,Pecan nuts
6,Peanut Butter
7,Mushrooms
8,Beef Fillet
9,Parma ham
10,Creme Fraiche
11,Hazlenuts
12,Lemon
13,Blackberry
14,Yogurt
15,Potatoes
16,Onion
17,Thyme
18,Bacon
19,Kielbasa
20,Cabbage
21,Pork
22,Beetroot
23,Enchilada sauce
24,Tortillas
25,Chicken
26,Tomatoes
27,Chocolate
28,Passata
29,Carrots
30,Paprika
31,Cinnamon
32,Walnuts
33,Pepper
34,Toor dal
35,Cumin
36,Orange
37,Cherry
38,Duck
39,Wine
40,Strawberries
41,Cream
42,Egg plants
43,Ground pork
44,Fish
45,Prawns
46,Garlic
47,Beans
48,Fettuccine
49,Parmesan
50,Soy sauce
51,Rice vinegar
52,Honey
53,Duck sauce
54,Marshmallows
55,Broccoli
56,Lamb chops
57,Turnips
58,Rice
59,Fries
60,Doner meat
61,Cucumber
62,Garlic sauce
63,Curry powder
64,Smoked haddock
65,Coriander
66,Sake
67,Chilli powder
68,Coconut milk
69,Rice noodles
70,Lamb leg
71,Apricot
72,Squash
73,Farfalle
74,Mozzarella
75,Olives
76,Tuna
77,Spaghetti
78,Peanuts
