1,1
1,2
2,6
3,3
3,4
3,5
4,7
4,8
4,9
5,8
5,10
6,11
6,12
6,13
6,14
7,15
7,16
7,17
8,18
8,19
8,7
8,20
8,16
8,21
9,22
9,15
10,23
10,24
10,25
11,16
11,15
11,26
12,27
12,4
13,25
13,7
13,28
14,16
14,29
14,30
14,17
15,29
15,31
15,32
16,26
16,16
16,33
16,30
17,26
17,33
17,34
17,35
18,2
18,36
18,37
19,40
19,41
20,42
20,33
20,43
21,8
21,26
21,16
21,35
21,39
22,44
22,15
22,45
22,12
23,44
23,45
23,16
23,15
23,36
23,26
24,12
24,35
24,46
24,47
25,48
25,41
25,49
26,25
26,50
26,51
26,52
26,53
27,27
27,41
27,54
28,25
28,15
28,55
28,46
29,56
29,29
29,15
29,17
29,39
29,57
30,16
30,21
30,50
30,58
31,59
31,60
31,26
31,61
31,62
32,25
32,16
32,46
32,29
32,50
32,63
33,64
33,16
33,63
33,58
33,65
34,66
34,50
34,67
34,25
34,46
34,78
35,67
35,69
35,68
35,65
36,16
36,29
36,46
36,35
36,70
36,71
36,72
37,26
37,73
37,74
37,75
37,76
38,16
38,46
38,7
38,26
38,8
38,77
39,21
39,46
39,29
39,50
